timestamp,activeOrders, sells,buys, digest
Sun Nov 30 20:47:48 EST 2014 , 4 , 2 , 2 , 246014 : { BUY 20860.61@0.0026527} 246013 : { BUY 20860.61@0.0026527} 246012 : { SELL 73433.97@0.00266334} 246011 : { SELL 73433.97@0.00266334} 
Sun Nov 30 20:53:50 EST 2014 , 4 , 2 , 2 , 246090 : { BUY 20749.14@0.00266695} 246089 : { BUY 20749.14@0.00266695} 246073 : { SELL 73433.97@0.00267764} 246072 : { SELL 73433.97@0.00267764} 
Sun Nov 30 20:56:51 EST 2014 , 4 , 2 , 2 , 246090 : { BUY 20749.14@0.00266695} 246089 : { BUY 20749.14@0.00266695} 246073 : { SELL 73433.97@0.00267764} 246072 : { SELL 73433.97@0.00267764} 
Sun Nov 30 20:59:52 EST 2014 , 4 , 2 , 2 , 246130 : { SELL 73433.97@0.00266553} 246129 : { SELL 73433.97@0.00266553} 246117 : { BUY 20843.4@0.00265489} 246116 : { BUY 20843.4@0.00265489} 
Sun Nov 30 21:02:53 EST 2014 , 4 , 2 , 2 , 246159 : { BUY 20736.94@0.00266852} 246158 : { BUY 20736.94@0.00266852} 246132 : { SELL 73433.97@0.00267922} 246131 : { SELL 73433.97@0.00267922} 
Sun Nov 30 21:08:55 EST 2014 , 4 , 2 , 2 , 246190 : { SELL 73432.6@0.00266589} 246189 : { SELL 73432.6@0.00266589} 246177 : { BUY 20842.04@0.00265524} 246176 : { BUY 20842.04@0.00265524} 
Sun Nov 30 21:11:56 EST 2014 , 4 , 2 , 2 , 246190 : { SELL 73432.6@0.00266589} 246189 : { SELL 73432.6@0.00266589} 246177 : { BUY 20842.04@0.00265524} 246176 : { BUY 20842.04@0.00265524} 
Sun Nov 30 21:14:57 EST 2014 , 4 , 2 , 2 , 246190 : { SELL 73432.6@0.00266589} 246189 : { SELL 73432.6@0.00266589} 246177 : { BUY 20842.04@0.00265524} 246176 : { BUY 20842.04@0.00265524} 
Sun Nov 30 21:17:58 EST 2014 , 4 , 2 , 2 , 246254 : { BUY 20753.25@0.0026666} 246253 : { BUY 20753.25@0.0026666} 246235 : { SELL 73432.6@0.00267728} 246234 : { SELL 73432.6@0.00267728} 
Sun Nov 30 21:20:59 EST 2014 , 4 , 2 , 2 , 246254 : { BUY 20753.25@0.0026666} 246253 : { BUY 20753.25@0.0026666} 246235 : { SELL 73432.6@0.00267728} 246234 : { SELL 73432.6@0.00267728} 
Sun Nov 30 21:24:00 EST 2014 , 4 , 2 , 2 , 246307 : { SELL 73432.6@0.00266823} 246306 : { SELL 73432.6@0.00266823} 246284 : { BUY 20823.68@0.00265758} 246283 : { BUY 20823.68@0.00265758} 
Sun Nov 30 21:27:01 EST 2014 , 4 , 2 , 2 , 246321 : { SELL 73432.6@0.00266489} 246320 : { SELL 73432.6@0.00266489} 246309 : { BUY 20849.73@0.00265426} 246308 : { BUY 20849.73@0.00265426} 
Sun Nov 30 21:30:02 EST 2014 , 4 , 2 , 2 , 246321 : { SELL 73432.6@0.00266489} 246320 : { SELL 73432.6@0.00266489} 246309 : { BUY 20849.73@0.00265426} 246308 : { BUY 20849.73@0.00265426} 
