timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Fri Nov 21 18:09:29 EST 2014,btce,ppc,0.732,USD,1.37398634,1.35827596,{ feed : btce - price : 0.732}  { feed : coinmarketcap_ne - price : 0.726769}  { feed : coinmarketcap_no - price : 0.724768}  

Fri Nov 21 18:22:42 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.731239}  { feed : coinmarketcap_no - price : 0.732103}  

Fri Nov 21 18:53:12 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.726139}  { feed : coinmarketcap_no - price : 0.726626}  

Fri Nov 21 19:04:23 EST 2014,btce,ppc,0.727,USD,1.38343604,1.36761761,{ feed : btce - price : 0.727}  { feed : coinmarketcap_ne - price : 0.725605}  { feed : coinmarketcap_no - price : 0.726273}  

Fri Nov 21 19:20:39 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.730656}  { feed : coinmarketcap_no - price : 0.730123}  

Fri Nov 21 21:17:34 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.727331}  { feed : coinmarketcap_no - price : 0.727074}  

Fri Nov 21 21:38:55 EST 2014,btce,ppc,0.724,USD,1.38916851,1.37328453,{ feed : btce - price : 0.724}  { feed : coinmarketcap_ne - price : 0.729171}  { feed : coinmarketcap_no - price : 0.728493}  

Fri Nov 21 21:42:59 EST 2014,btce,ppc,0.731,USD,1.37586594,1.36013406,{ feed : btce - price : 0.731}  { feed : coinmarketcap_ne - price : 0.729308}  { feed : coinmarketcap_no - price : 0.729171}  

Fri Nov 21 22:00:16 EST 2014,btce,ppc,0.732,USD,1.37398634,1.35827596,{ feed : btce - price : 0.732}  { feed : coinmarketcap_ne - price : 0.734122}  { feed : coinmarketcap_no - price : 0.734122}  

Fri Nov 21 22:50:05 EST 2014,btce,ppc,0.731,USD,1.37586594,1.36013406,{ feed : btce - price : 0.731}  { feed : coinmarketcap_ne - price : 0.737418}  { feed : coinmarketcap_no - price : 0.737418}  

Fri Nov 21 23:31:46 EST 2014,btce,ppc,0.733,USD,1.37211187,1.35642292,{ feed : btce - price : 0.733}  { feed : coinmarketcap_ne - price : 0.734247}  { feed : coinmarketcap_no - price : 0.734642}  

Fri Nov 21 23:52:06 EST 2014,btce,ppc,0.731,USD,1.37586594,1.36013406,{ feed : btce - price : 0.731}  { feed : coinmarketcap_ne - price : 0.736292}  { feed : coinmarketcap_no - price : 0.736359}  

Sat Nov 22 00:02:16 EST 2014,btce,ppc,0.734,USD,1.37024251,1.35457493,{ feed : btce - price : 0.734}  { feed : coinmarketcap_ne - price : 0.735394}  { feed : coinmarketcap_no - price : 0.735538}  

Sat Nov 22 00:22:36 EST 2014,btce,ppc,0.735,USD,1.36837823,1.35273197,{ feed : btce - price : 0.735}  { feed : coinmarketcap_ne - price : 0.737465}  { feed : coinmarketcap_no - price : 0.736213}  

Sat Nov 22 00:25:39 EST 2014,btce,ppc,0.739,USD,1.36097158,1.34541001,{ feed : btce - price : 0.739}  { feed : coinmarketcap_ne - price : 0.740206}  { feed : coinmarketcap_no - price : 0.737465}  

Sat Nov 22 00:31:45 EST 2014,btce,ppc,0.735,USD,1.36837823,1.35273197,{ feed : btce - price : 0.735}  { feed : coinmarketcap_ne - price : 0.741229}  { feed : coinmarketcap_no - price : 0.740206}  

Sat Nov 22 01:00:13 EST 2014,btce,ppc,0.734,USD,1.37024251,1.35457493,{ feed : btce - price : 0.734}  { feed : coinmarketcap_ne - price : 0.739619}  { feed : coinmarketcap_no - price : 0.739619}  

Sat Nov 22 01:18:31 EST 2014,btce,ppc,0.742,USD,1.355469,1.33997035,{ feed : btce - price : 0.742}  { feed : coinmarketcap_ne - price : 0.739482}  { feed : coinmarketcap_no - price : 0.738763}  

Sat Nov 22 01:19:32 EST 2014,btce,ppc,0.737,USD,1.36466486,1.34906106,{ feed : btce - price : 0.737}  { feed : coinmarketcap_ne - price : 0.739482}  { feed : coinmarketcap_no - price : 0.738763}  

Sat Nov 22 02:49:00 EST 2014,btce,ppc,0.736,USD,1.36651902,1.35089402,{ feed : btce - price : 0.736}  { feed : coinmarketcap_ne - price : 0.740281}  { feed : coinmarketcap_no - price : 0.740354}  

Sat Nov 22 02:53:04 EST 2014,btce,ppc,0.733,USD,1.37211187,1.35642292,{ feed : btce - price : 0.733}  { feed : coinmarketcap_ne - price : 0.741252}  { feed : coinmarketcap_no - price : 0.740281}  

Sat Nov 22 04:53:02 EST 2014,btce,ppc,0.734,USD,1.37024251,1.35457493,{ feed : btce - price : 0.734}  { feed : coinmarketcap_ne - price : 0.738066}  { feed : coinmarketcap_no - price : 0.738301}  

Sat Nov 22 05:59:07 EST 2014,btce,ppc,0.729,USD,1.3796406,1.36386557,{ feed : btce - price : 0.729}  { feed : coinmarketcap_ne - price : 0.738101}  { feed : coinmarketcap_no - price : 0.737836}  

Sat Nov 22 06:02:10 EST 2014,btce,ppc,0.731,USD,1.37586594,1.36013406,{ feed : btce - price : 0.731}  { feed : coinmarketcap_ne - price : 0.736578}  { feed : coinmarketcap_no - price : 0.738101}  

Sat Nov 22 06:07:15 EST 2014,btce,ppc,0.732,USD,1.37398634,1.35827596,{ feed : btce - price : 0.732}  { feed : coinmarketcap_ne - price : 0.731656}  { feed : coinmarketcap_no - price : 0.736578}  

Sat Nov 22 06:32:40 EST 2014,btce,ppc,0.73,USD,1.37775068,1.36199726,{ feed : btce - price : 0.73}  { feed : coinmarketcap_ne - price : 0.737623}  { feed : coinmarketcap_no - price : 0.736309}  

Sat Nov 22 06:43:51 EST 2014,btce,ppc,0.735,USD,1.36837823,1.35273197,{ feed : btce - price : 0.735}  { feed : coinmarketcap_ne - price : 0.73654}  { feed : coinmarketcap_no - price : 0.736698}  

Sat Nov 22 06:46:54 EST 2014,btce,ppc,0.73,USD,1.37775068,1.36199726,{ feed : btce - price : 0.73}  { feed : coinmarketcap_ne - price : 0.736626}  { feed : coinmarketcap_no - price : 0.73654}  

Sat Nov 22 07:01:08 EST 2014,btce,ppc,0.737,USD,1.36466486,1.34906106,{ feed : btce - price : 0.737}  { feed : coinmarketcap_ne - price : 0.736645}  { feed : coinmarketcap_no - price : 0.736396}  

Sat Nov 22 07:16:23 EST 2014,btce,ppc,0.738,USD,1.36281572,1.34723306,{ feed : btce - price : 0.738}  { feed : coinmarketcap_ne - price : 0.742056}  { feed : coinmarketcap_no - price : 0.741505}  

Sat Nov 22 07:26:33 EST 2014,btce,ppc,0.739,USD,1.36097158,1.34541001,{ feed : btce - price : 0.739}  { feed : coinmarketcap_ne - price : 0.742226}  { feed : coinmarketcap_no - price : 0.741866}  

Sat Nov 22 07:31:38 EST 2014,btce,ppc,0.74,USD,1.35913243,1.34359189,{ feed : btce - price : 0.74}  { feed : coinmarketcap_ne - price : 0.742861}  { feed : coinmarketcap_no - price : 0.742226}  

Sat Nov 22 07:47:54 EST 2014,btce,ppc,0.739,USD,1.36097158,1.34541001,{ feed : btce - price : 0.739}  { feed : coinmarketcap_ne - price : 0.743822}  { feed : coinmarketcap_no - price : 0.745081}  

Sat Nov 22 07:56:02 EST 2014,btce,ppc,0.735,USD,1.36837823,1.35273197,{ feed : btce - price : 0.735}  { feed : coinmarketcap_ne - price : 0.741071}  { feed : coinmarketcap_no - price : 0.743128}  

Sat Nov 22 08:00:06 EST 2014,btce,ppc,0.73,USD,1.37775068,1.36199726,{ feed : btce - price : 0.73}  { feed : coinmarketcap_ne - price : 0.741071}  { feed : coinmarketcap_no - price : 0.741071}  

Sat Nov 22 08:03:09 EST 2014,btce,ppc,0.725,USD,1.38725241,1.37139034,{ feed : btce - price : 0.725}  { feed : coinmarketcap_ne - price : 0.738438}  { feed : coinmarketcap_no - price : 0.741071}  

Sat Nov 22 08:07:13 EST 2014,btce,ppc,0.726,USD,1.3853416,1.36950138,{ feed : btce - price : 0.726}  { feed : coinmarketcap_ne - price : 0.72812}  { feed : coinmarketcap_no - price : 0.738438}  

Sat Nov 22 08:14:20 EST 2014,btce,ppc,0.73,USD,1.37775068,1.36199726,{ feed : btce - price : 0.73}  { feed : coinmarketcap_ne - price : 0.728825}  { feed : coinmarketcap_no - price : 0.72812}  

Sat Nov 22 08:51:57 EST 2014,btce,ppc,0.726,USD,1.3853416,1.36950138,{ feed : btce - price : 0.726}  { feed : coinmarketcap_ne - price : 0.733014}  { feed : coinmarketcap_no - price : 0.733575}  

Sat Nov 22 08:55:00 EST 2014,btce,ppc,0.725,USD,1.38725241,1.37139034,{ feed : btce - price : 0.725}  { feed : coinmarketcap_ne - price : 0.733014}  { feed : coinmarketcap_no - price : 0.733575}  

Sat Nov 22 09:11:17 EST 2014,btce,ppc,0.726,USD,1.3853416,1.36950138,{ feed : btce - price : 0.726}  { feed : coinmarketcap_ne - price : 0.728624}  { feed : coinmarketcap_no - price : 0.728251}  

Sat Nov 22 09:15:20 EST 2014,btce,ppc,0.725,USD,1.38725241,1.37139034,{ feed : btce - price : 0.725}  { feed : coinmarketcap_ne - price : 0.72987}  { feed : coinmarketcap_no - price : 0.728624}  

Sat Nov 22 10:01:05 EST 2014,btce,ppc,0.723,USD,1.3910899,1.37518396,{ feed : btce - price : 0.723}  { feed : coinmarketcap_ne - price : 0.727403}  { feed : coinmarketcap_no - price : 0.72804}  

Sat Nov 22 10:11:16 EST 2014,btce,ppc,0.724,USD,1.38916851,1.37328453,{ feed : btce - price : 0.724}  { feed : coinmarketcap_ne - price : 0.728283}  { feed : coinmarketcap_no - price : 0.72853}  

Sat Nov 22 10:16:20 EST 2014,btce,ppc,0.725,USD,1.38725241,1.37139034,{ feed : btce - price : 0.725}  { feed : coinmarketcap_ne - price : 0.728417}  { feed : coinmarketcap_no - price : 0.728283}  

Sat Nov 22 10:22:26 EST 2014,btce,ppc,0.73,USD,1.37775068,1.36199726,{ feed : btce - price : 0.73}  { feed : coinmarketcap_ne - price : 0.728929}  { feed : coinmarketcap_no - price : 0.728417}  

Sat Nov 22 10:27:31 EST 2014,btce,ppc,0.731,USD,1.37586594,1.36013406,{ feed : btce - price : 0.731}  { feed : coinmarketcap_ne - price : 0.731731}  { feed : coinmarketcap_no - price : 0.728929}  

Sat Nov 22 10:33:37 EST 2014,btce,ppc,0.727,USD,1.38343604,1.36761761,{ feed : btce - price : 0.727}  { feed : coinmarketcap_ne - price : 0.733105}  { feed : coinmarketcap_no - price : 0.731731}  

Sat Nov 22 13:17:18 EST 2014,btce,ppc,0.724,USD,1.38916851,1.37328453,{ feed : btce - price : 0.724}  { feed : coinmarketcap_ne - price : 0.724823}  { feed : coinmarketcap_no - price : 0.727389}  

Sat Nov 22 13:32:33 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.730203}  { feed : coinmarketcap_no - price : 0.730331}  

Sat Nov 22 13:35:36 EST 2014,btce,ppc,0.72,USD,1.39688611,1.38091389,{ feed : btce - price : 0.72}  { feed : coinmarketcap_ne - price : 0.722221}  { feed : coinmarketcap_no - price : 0.730203}  

Sat Nov 22 13:38:39 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.722221}  { feed : coinmarketcap_no - price : 0.730203}  

Sat Nov 22 13:43:44 EST 2014,btce,ppc,0.723,USD,1.3910899,1.37518396,{ feed : btce - price : 0.723}  { feed : coinmarketcap_ne - price : 0.722227}  { feed : coinmarketcap_no - price : 0.722221}  

Sat Nov 22 13:47:48 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.723021}  { feed : coinmarketcap_no - price : 0.722227}  

Sat Nov 22 14:01:02 EST 2014,btce,ppc,0.72,USD,1.39688611,1.38091389,{ feed : btce - price : 0.72}  { feed : coinmarketcap_ne - price : 0.723381}  { feed : coinmarketcap_no - price : 0.72001}  

Sat Nov 22 14:11:11 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.722778}  { feed : coinmarketcap_no - price : 0.722853}  

Sat Nov 22 14:30:30 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.722304}  { feed : coinmarketcap_no - price : 0.724593}  

Sat Nov 22 14:35:35 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.722974}  { feed : coinmarketcap_no - price : 0.722304}  

Sat Nov 22 14:43:43 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.720747}  { feed : coinmarketcap_no - price : 0.722974}  

Sat Nov 22 14:53:53 EST 2014,btce,ppc,0.721,USD,1.39494868,1.37899861,{ feed : btce - price : 0.721}  { feed : coinmarketcap_ne - price : 0.723302}  { feed : coinmarketcap_no - price : 0.723288}  

Sat Nov 22 15:06:05 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.723221}  { feed : coinmarketcap_no - price : 0.722943}  

Sat Nov 22 15:27:26 EST 2014,btce,ppc,0.723,USD,1.3910899,1.37518396,{ feed : btce - price : 0.723}  { feed : coinmarketcap_ne - price : 0.724503}  { feed : coinmarketcap_no - price : 0.724362}  

Sat Nov 22 15:49:48 EST 2014,btce,ppc,0.728,USD,1.38153571,1.36573901,{ feed : btce - price : 0.728}  { feed : coinmarketcap_ne - price : 0.725032}  { feed : coinmarketcap_no - price : 0.725164}  

Sat Nov 22 16:11:09 EST 2014,btce,ppc,0.722,USD,1.39301662,1.37708864,{ feed : btce - price : 0.722}  { feed : coinmarketcap_ne - price : 0.729936}  { feed : coinmarketcap_no - price : 0.729051}  

Sat Nov 22 16:56:54 EST 2014,btce,ppc,0.72,USD,1.39688611,1.38091389,{ feed : btce - price : 0.72}  { feed : coinmarketcap_ne - price : 0.722345}  { feed : coinmarketcap_no - price : 0.722642}  

