timestamp,activeOrders, sells,buys, digest
Thu Nov 06 13:52:46 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 13:55:47 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 13:58:48 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:01:49 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:04:50 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:07:51 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:10:52 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:13:53 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:16:54 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:19:55 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:22:56 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:25:57 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:28:58 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:31:59 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:35:00 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:38:01 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:41:02 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:44:03 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:47:04 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:50:05 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:53:06 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:56:07 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 14:59:08 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
Thu Nov 06 15:02:09 EST 2014 , 4 , 2 , 2 , 108385 : { BUY 5045.15@0.998} 108384 : { BUY 5045.15@0.998} 108383 : { SELL 11959.89@1.002} 108382 : { SELL 11959.89@1.002} 
